id,hub, authority
16,0,1.72E-05
19,0,6.20E-06
39,0,6.95E-06
43,0,2.00E-05
46,0,9.40E-06
56,0.000427121,0.000117509
69,0,0.000107363
73,0.010608796,0.000110962
78,0,0.000108219
80,0,1.58E-05
86,0,0.000122279
88,0.000117521,0.000118678
94,0.000385278,0.000165394
100,0,0.000107363
107,0,3.58E-05
137,0,9.45E-06
144,0,0.000120232
161,0,1.15E-05
166,0,0.000148702
179,0,0.000107363
184,0,0.000182176
187,5.04E-05,0
202,0.000110317,0
206,3.09E-05,0
214,0,9.09E-07
222,4.23E-05,0
239,0,0.000121027
253,0,0.000128474
260,0,8.74E-07
261,0,0.000107363
281,9.08E-05,5.17E-06
285,0,1.18E-05
299,1.95E-05,0
310,0,6.13E-06
312,0,4.23E-07
332,0.000619669,0.000146114
343,0,6.90E-07
356,0,1.51E-05
357,0,2.75E-05
365,0,2.41E-06
375,4.18E-05,0
396,0,1.86E-05
398,0,1.42E-06
402,5.42E-05,0
407,0,9.92E-06
417,0,0.000107822
421,0,0.000125856
436,6.71E-05,0
448,8.31E-05,0
460,0,1.96E-05
465,0,2.91E-06
470,0,1.30E-05
471,0,3.38E-06
477,0,3.64E-05
483,0,6.14E-08
493,0,5.43E-05
524,0,9.87E-06
525,4.49E-05,0
530,0,2.13E-06
538,0,3.01E-06
543,0,9.98E-06
556,0,4.59E-07
560,0,0.000124877
573,0,2.20E-05
583,0,0.000133271
587,8.34E-05,0
590,1.67E-05,0
599,0,1.72E-05
603,0,5.74E-05
611,0,9.91E-06
625,4.32E-05,0
639,0,0.000116759
640,2.19E-05,0
645,0,0.000134822
670,0,1.50E-07
671,0,2.30E-06
675,0,5.64E-07
676,4.45E-05,0
690,0,0.000107757
691,0,0.000178381
692,0,8.55E-07
694,0.000165312,0.000118755
702,0,1.55E-05
714,0,2.77E-05
715,0,1.72E-05
718,0,2.97E-05
723,7.40E-05,0
725,0,3.15E-05
730,0,0.000141399
734,0,1.72E-05
748,0,0.000107727
752,0,1.13E-06
756,0,1.58E-05
769,0,0.000107363
773,0,0.000107363
777,0.000110375,0
783,0,3.12E-06
787,0,3.03E-05
817,0.000382142,2.22E-05
829,0,7.39E-06
834,0,2.33E-06
845,0,0.000118804
846,0,0.000107363
872,1.48E-05,0
886,0,3.89E-07
888,5.86E-96,0.000119558
900,0,1.44E-06
902,0,0.000107363
904,0,0.000107363
910,0,0.000107363
918,0,1.40E-05
929,0,0.000107363
947,0,0.000107363
953,0,0.00017985
966,0.000125964,1.07E-05
